Country,alpha_2_code,alpha_3_code,Indicator,Year,sex,Value_in_percentage%
Lesotho,LS,LSO,Diarrhoea treatment - percentage of children (under age 5) with diarrhoea who received ORS (packets or pre-packaged fluids),2018,Male,36.80%
Lesotho,LS,LSO,Diarrhoea treatment - percentage of children (under age 5) with diarrhoea who received ORS (packets or pre-packaged fluids),2018,Total,39.70%
Liberia,LR,LBR,Diarrhoea treatment - percentage of children (under age 5) with diarrhoea who received ORS (packets or pre-packaged fluids),2007,Female,50.20%
Liberia,LR,LBR,Diarrhoea treatment - percentage of children (under age 5) with diarrhoea who received ORS (packets or pre-packaged fluids),2007,Male,55.70%
Liberia,LR,LBR,Diarrhoea treatment - percentage of children (under age 5) with diarrhoea who received ORS (packets or pre-packaged fluids),2007,Total,53.10%
Liberia,LR,LBR,Diarrhoea treatment - percentage of children (under age 5) with diarrhoea who received ORS (packets or pre-packaged fluids),2013,Female,62.80%
Liberia,LR,LBR,Diarrhoea treatment - percentage of children (under age 5) with diarrhoea who received ORS (packets or pre-packaged fluids),2013,Male,58.20%
Liberia,LR,LBR,Diarrhoea treatment - percentage of children (under age 5) with diarrhoea who received ORS (packets or pre-packaged fluids),2013,Total,60.40%
Liberia,LR,LBR,Diarrhoea treatment - percentage of children (under age 5) with diarrhoea who received ORS (packets or pre-packaged fluids),2020,Female,53.20%
Liberia,LR,LBR,Diarrhoea treatment - percentage of children (under age 5) with diarrhoea who received ORS (packets or pre-packaged fluids),2020,Male,55.00%
Liberia,LR,LBR,Diarrhoea treatment - percentage of children (under age 5) with diarrhoea who received ORS (packets or pre-packaged fluids),2020,Total,54.10%
"Macedonia, the former Yugoslav Republic of",MK,MKD,Diarrhoea treatment - percentage of children (under age 5) with diarrhoea who received ORS (packets or pre-packaged fluids),2006,Female,22.80%
"Macedonia, the former Yugoslav Republic of",MK,MKD,Diarrhoea treatment - percentage of children (under age 5) with diarrhoea who received ORS (packets or pre-packaged fluids),2006,Male,25.00%
"Macedonia, the former Yugoslav Republic of",MK,MKD,Diarrhoea treatment - percentage of children (under age 5) with diarrhoea who received ORS (packets or pre-packaged fluids),2006,Total,24.00%
"Macedonia, the former Yugoslav Republic of",MK,MKD,Diarrhoea treatment - percentage of children (under age 5) with diarrhoea who received ORS (packets or pre-packaged fluids),2011,Total,62.00%
Madagascar,MG,MDG,Diarrhoea treatment - percentage of children (under age 5) with diarrhoea who received ORS (packets or pre-packaged fluids),2000,Female,11.40%
Madagascar,MG,MDG,Diarrhoea treatment - percentage of children (under age 5) with diarrhoea who received ORS (packets or pre-packaged fluids),2000,Male,9.40%
Madagascar,MG,MDG,Diarrhoea treatment - percentage of children (under age 5) with diarrhoea who received ORS (packets or pre-packaged fluids),2000,Total,10.40%
Madagascar,MG,MDG,Diarrhoea treatment - percentage of children (under age 5) with diarrhoea who received ORS (packets or pre-packaged fluids),2004,Female,8.60%
Madagascar,MG,MDG,Diarrhoea treatment - percentage of children (under age 5) with diarrhoea who received ORS (packets or pre-packaged fluids),2004,Male,15.70%
Madagascar,MG,MDG,Diarrhoea treatment - percentage of children (under age 5) with diarrhoea who received ORS (packets or pre-packaged fluids),2004,Total,12.40%
Madagascar,MG,MDG,Diarrhoea treatment - percentage of children (under age 5) with diarrhoea who received ORS (packets or pre-packaged fluids),2009,Female,16.10%
Madagascar,MG,MDG,Diarrhoea treatment - percentage of children (under age 5) with diarrhoea who received ORS (packets or pre-packaged fluids),2009,Male,17.70%
Madagascar,MG,MDG,Diarrhoea treatment - percentage of children (under age 5) with diarrhoea who received ORS (packets or pre-packaged fluids),2009,Total,16.90%
Madagascar,MG,MDG,Diarrhoea treatment - percentage of children (under age 5) with diarrhoea who received ORS (packets or pre-packaged fluids),2013,Female,13.40%
Madagascar,MG,MDG,Diarrhoea treatment - percentage of children (under age 5) with diarrhoea who received ORS (packets or pre-packaged fluids),2013,Male,15.70%
Madagascar,MG,MDG,Diarrhoea treatment - percentage of children (under age 5) with diarrhoea who received ORS (packets or pre-packaged fluids),2013,Total,14.60%
Madagascar,MG,MDG,Diarrhoea treatment - percentage of children (under age 5) with diarrhoea who received ORS (packets or pre-packaged fluids),2018,Female,18.60%
Madagascar,MG,MDG,Diarrhoea treatment - percentage of children (under age 5) with diarrhoea who received ORS (packets or pre-packaged fluids),2018,Male,18.70%
Madagascar,MG,MDG,Diarrhoea treatment - percentage of children (under age 5) with diarrhoea who received ORS (packets or pre-packaged fluids),2018,Total,18.70%
Madagascar,MG,MDG,Diarrhoea treatment - percentage of children (under age 5) with diarrhoea who received ORS (packets or pre-packaged fluids),2021,Female,20.40%
Madagascar,MG,MDG,Diarrhoea treatment - percentage of children (under age 5) with diarrhoea who received ORS (packets or pre-packaged fluids),2021,Male,19.00%
Madagascar,MG,MDG,Diarrhoea treatment - percentage of children (under age 5) with diarrhoea who received ORS (packets or pre-packaged fluids),2021,Total,19.60%
Malawi,MW,MWI,Diarrhoea treatment - percentage of children (under age 5) with diarrhoea who received ORS (packets or pre-packaged fluids),2000,Female,49.30%
Malawi,MW,MWI,Diarrhoea treatment - percentage of children (under age 5) with diarrhoea who received ORS (packets or pre-packaged fluids),2000,Male,46.50%
Malawi,MW,MWI,Diarrhoea treatment - percentage of children (under age 5) with diarrhoea who received ORS (packets or pre-packaged fluids),2000,Total,47.90%
Malawi,MW,MWI,Diarrhoea treatment - percentage of children (under age 5) with diarrhoea who received ORS (packets or pre-packaged fluids),2005,Female,58.90%
Malawi,MW,MWI,Diarrhoea treatment - percentage of children (under age 5) with diarrhoea who received ORS (packets or pre-packaged fluids),2005,Male,63.20%
Malawi,MW,MWI,Diarrhoea treatment - percentage of children (under age 5) with diarrhoea who received ORS (packets or pre-packaged fluids),2005,Total,61.10%
Malawi,MW,MWI,Diarrhoea treatment - percentage of children (under age 5) with diarrhoea who received ORS (packets or pre-packaged fluids),2006,Female,55.90%
Malawi,MW,MWI,Diarrhoea treatment - percentage of children (under age 5) with diarrhoea who received ORS (packets or pre-packaged fluids),2006,Male,54.60%
Malawi,MW,MWI,Diarrhoea treatment - percentage of children (under age 5) with diarrhoea who received ORS (packets or pre-packaged fluids),2006,Total,55.20%
Malawi,MW,MWI,Diarrhoea treatment - percentage of children (under age 5) with diarrhoea who received ORS (packets or pre-packaged fluids),2010,Female,69.60%
Malawi,MW,MWI,Diarrhoea treatment - percentage of children (under age 5) with diarrhoea who received ORS (packets or pre-packaged fluids),2010,Male,68.40%
Malawi,MW,MWI,Diarrhoea treatment - percentage of children (under age 5) with diarrhoea who received ORS (packets or pre-packaged fluids),2010,Total,69.00%
Malawi,MW,MWI,Diarrhoea treatment - percentage of children (under age 5) with diarrhoea who received ORS (packets or pre-packaged fluids),2014,Female,63.30%
Malawi,MW,MWI,Diarrhoea treatment - percentage of children (under age 5) with diarrhoea who received ORS (packets or pre-packaged fluids),2014,Male,63.70%
Malawi,MW,MWI,Diarrhoea treatment - percentage of children (under age 5) with diarrhoea who received ORS (packets or pre-packaged fluids),2014,Total,63.50%
Malawi,MW,MWI,Diarrhoea treatment - percentage of children (under age 5) with diarrhoea who received ORS (packets or pre-packaged fluids),2016,Female,65.00%
Malawi,MW,MWI,Diarrhoea treatment - percentage of children (under age 5) with diarrhoea who received ORS (packets or pre-packaged fluids),2016,Male,64.50%
Malawi,MW,MWI,Diarrhoea treatment - percentage of children (under age 5) with diarrhoea who received ORS (packets or pre-packaged fluids),2016,Total,64.70%
Malawi,MW,MWI,Diarrhoea treatment - percentage of children (under age 5) with diarrhoea who received ORS (packets or pre-packaged fluids),2020,Female,51.40%
Malawi,MW,MWI,Diarrhoea treatment - percentage of children (under age 5) with diarrhoea who received ORS (packets or pre-packaged fluids),2020,Male,51.40%
Malawi,MW,MWI,Diarrhoea treatment - percentage of children (under age 5) with diarrhoea who received ORS (packets or pre-packaged fluids),2020,Total,51.40%
Malaysia,MY,MYS,Diarrhoea treatment - percentage of children (under age 5) with diarrhoea who received ORS (packets or pre-packaged fluids),2016,Total,45.00%
Malaysia,MY,MYS,Diarrhoea treatment - percentage of children (under age 5) with diarrhoea who received ORS (packets or pre-packaged fluids),2022,Total,17.70%
Maldives,MV,MDV,Diarrhoea treatment - percentage of children (under age 5) with diarrhoea who received ORS (packets or pre-packaged fluids),2009,Total,57.00%
Maldives,MV,MDV,Diarrhoea treatment - percentage of children (under age 5) with diarrhoea who received ORS (packets or pre-packaged fluids),2017,Total,74.80%
Mali,ML,MLI,Diarrhoea treatment - percentage of children (under age 5) with diarrhoea who received ORS (packets or pre-packaged fluids),2001,Female,11.40%
Mali,ML,MLI,Diarrhoea treatment - percentage of children (under age 5) with diarrhoea who received ORS (packets or pre-packaged fluids),2001,Male,12.50%
Mali,ML,MLI,Diarrhoea treatment - percentage of children (under age 5) with diarrhoea who received ORS (packets or pre-packaged fluids),2001,Total,12.00%
Mali,ML,MLI,Diarrhoea treatment - percentage of children (under age 5) with diarrhoea who received ORS (packets or pre-packaged fluids),2006,Female,12.20%
Mali,ML,MLI,Diarrhoea treatment - percentage of children (under age 5) with diarrhoea who received ORS (packets or pre-packaged fluids),2006,Male,15.70%
Mali,ML,MLI,Diarrhoea treatment - percentage of children (under age 5) with diarrhoea who received ORS (packets or pre-packaged fluids),2006,Total,14.00%
Mali,ML,MLI,Diarrhoea treatment - percentage of children (under age 5) with diarrhoea who received ORS (packets or pre-packaged fluids),2010,Female,17.90%
Mali,ML,MLI,Diarrhoea treatment - percentage of children (under age 5) with diarrhoea who received ORS (packets or pre-packaged fluids),2010,Male,17.80%
Mali,ML,MLI,Diarrhoea treatment - percentage of children (under age 5) with diarrhoea who received ORS (packets or pre-packaged fluids),2010,Total,17.80%
Mali,ML,MLI,Diarrhoea treatment - percentage of children (under age 5) with diarrhoea who received ORS (packets or pre-packaged fluids),2015,Female,21.70%
Mali,ML,MLI,Diarrhoea treatment - percentage of children (under age 5) with diarrhoea who received ORS (packets or pre-packaged fluids),2015,Male,20.10%
Mali,ML,MLI,Diarrhoea treatment - percentage of children (under age 5) with diarrhoea who received ORS (packets or pre-packaged fluids),2015,Total,20.90%
Mali,ML,MLI,Diarrhoea treatment - percentage of children (under age 5) with diarrhoea who received ORS (packets or pre-packaged fluids),2018,Female,22.10%
Mali,ML,MLI,Diarrhoea treatment - percentage of children (under age 5) with diarrhoea who received ORS (packets or pre-packaged fluids),2018,Male,20.90%
Mali,ML,MLI,Diarrhoea treatment - percentage of children (under age 5) with diarrhoea who received ORS (packets or pre-packaged fluids),2018,Total,21.40%
Marshall Islands,MH,MHL,Diarrhoea treatment - percentage of children (under age 5) with diarrhoea who received ORS (packets or pre-packaged fluids),2007,Female,39.70%
Marshall Islands,MH,MHL,Diarrhoea treatment - percentage of children (under age 5) with diarrhoea who received ORS (packets or pre-packaged fluids),2007,Total,38.20%
Mauritania,MR,MRT,Diarrhoea treatment - percentage of children (under age 5) with diarrhoea who received ORS (packets or pre-packaged fluids),2001,Female,19.60%
Mauritania,MR,MRT,Diarrhoea treatment - percentage of children (under age 5) with diarrhoea who received ORS (packets or pre-packaged fluids),2001,Male,25.60%
Mauritania,MR,MRT,Diarrhoea treatment - percentage of children (under age 5) with diarrhoea who received ORS (packets or pre-packaged fluids),2001,Total,22.60%
Mauritania,MR,MRT,Diarrhoea treatment - percentage of children (under age 5) with diarrhoea who received ORS (packets or pre-packaged fluids),2007,Female,19.60%
Mauritania,MR,MRT,Diarrhoea treatment - percentage of children (under age 5) with diarrhoea who received ORS (packets or pre-packaged fluids),2007,Male,20.60%
Mauritania,MR,MRT,Diarrhoea treatment - percentage of children (under age 5) with diarrhoea who received ORS (packets or pre-packaged fluids),2007,Total,20.10%
Mauritania,MR,MRT,Diarrhoea treatment - percentage of children (under age 5) with diarrhoea who received ORS (packets or pre-packaged fluids),2011,Female,17.60%
Mauritania,MR,MRT,Diarrhoea treatment - percentage of children (under age 5) with diarrhoea who received ORS (packets or pre-packaged fluids),2011,Male,19.90%
Mauritania,MR,MRT,Diarrhoea treatment - percentage of children (under age 5) with diarrhoea who received ORS (packets or pre-packaged fluids),2011,Total,18.80%
Mauritania,MR,MRT,Diarrhoea treatment - percentage of children (under age 5) with diarrhoea who received ORS (packets or pre-packaged fluids),2015,Female,23.60%
Mauritania,MR,MRT,Diarrhoea treatment - percentage of children (under age 5) with diarrhoea who received ORS (packets or pre-packaged fluids),2015,Male,27.10%
Mauritania,MR,MRT,Diarrhoea treatment - percentage of children (under age 5) with diarrhoea who received ORS (packets or pre-packaged fluids),2015,Total,25.40%
Mauritania,MR,MRT,Diarrhoea treatment - percentage of children (under age 5) with diarrhoea who received ORS (packets or pre-packaged fluids),2021,Female,16.90%
Mauritania,MR,MRT,Diarrhoea treatment - percentage of children (under age 5) with diarrhoea who received ORS (packets or pre-packaged fluids),2021,Male,21.80%
Mauritania,MR,MRT,Diarrhoea treatment - percentage of children (under age 5) with diarrhoea who received ORS (packets or pre-packaged fluids),2021,Total,19.50%
Mexico,MX,MEX,Diarrhoea treatment - percentage of children (under age 5) with diarrhoea who received ORS (packets or pre-packaged fluids),2012,Female,50.80%
Mexico,MX,MEX,Diarrhoea treatment - percentage of children (under age 5) with diarrhoea who received ORS (packets or pre-packaged fluids),2012,Male,53.70%
Mexico,MX,MEX,Diarrhoea treatment - percentage of children (under age 5) with diarrhoea who received ORS (packets or pre-packaged fluids),2012,Total,52.30%
Mexico,MX,MEX,Diarrhoea treatment - percentage of children (under age 5) with diarrhoea who received ORS (packets or pre-packaged fluids),2015,Female,57.40%
Mexico,MX,MEX,Diarrhoea treatment - percentage of children (under age 5) with diarrhoea who received ORS (packets or pre-packaged fluids),2015,Male,65.10%
Mexico,MX,MEX,Diarrhoea treatment - percentage of children (under age 5) with diarrhoea who received ORS (packets or pre-packaged fluids),2015,Total,61.40%
"Moldova, Republic of",MD,MDA,Diarrhoea treatment - percentage of children (under age 5) with diarrhoea who received ORS (packets or pre-packaged fluids),2000,Female,4.10%
"Moldova, Republic of",MD,MDA,Diarrhoea treatment - percentage of children (under age 5) with diarrhoea who received ORS (packets or pre-packaged fluids),2000,Male,10.70%
"Moldova, Republic of",MD,MDA,Diarrhoea treatment - percentage of children (under age 5) with diarrhoea who received ORS (packets or pre-packaged fluids),2000,Total,7.50%
"Moldova, Republic of",MD,MDA,Diarrhoea treatment - percentage of children (under age 5) with diarrhoea who received ORS (packets or pre-packaged fluids),2005,Total,33.30%
"Moldova, Republic of",MD,MDA,Diarrhoea treatment - percentage of children (under age 5) with diarrhoea who received ORS (packets or pre-packaged fluids),2012,Female,46.70%
"Moldova, Republic of",MD,MDA,Diarrhoea treatment - percentage of children (under age 5) with diarrhoea who received ORS (packets or pre-packaged fluids),2012,Male,35.00%
"Moldova, Republic of",MD,MDA,Diarrhoea treatment - percentage of children (under age 5) with diarrhoea who received ORS (packets or pre-packaged fluids),2012,Total,41.50%
Mongolia,MN,MNG,Diarrhoea treatment - percentage of children (under age 5) with diarrhoea who received ORS (packets or pre-packaged fluids),2000,Female,54.80%
Mongolia,MN,MNG,Diarrhoea treatment - percentage of children (under age 5) with diarrhoea who received ORS (packets or pre-packaged fluids),2000,Male,57.00%
Mongolia,MN,MNG,Diarrhoea treatment - percentage of children (under age 5) with diarrhoea who received ORS (packets or pre-packaged fluids),2000,Total,55.90%
Mongolia,MN,MNG,Diarrhoea treatment - percentage of children (under age 5) with diarrhoea who received ORS (packets or pre-packaged fluids),2005,Female,36.90%
Mongolia,MN,MNG,Diarrhoea treatment - percentage of children (under age 5) with diarrhoea who received ORS (packets or pre-packaged fluids),2005,Male,38.90%
Mongolia,MN,MNG,Diarrhoea treatment - percentage of children (under age 5) with diarrhoea who received ORS (packets or pre-packaged fluids),2005,Total,38.00%
Mongolia,MN,MNG,Diarrhoea treatment - percentage of children (under age 5) with diarrhoea who received ORS (packets or pre-packaged fluids),2010,Female,29.30%
Mongolia,MN,MNG,Diarrhoea treatment - percentage of children (under age 5) with diarrhoea who received ORS (packets or pre-packaged fluids),2010,Male,31.60%
Mongolia,MN,MNG,Diarrhoea treatment - percentage of children (under age 5) with diarrhoea who received ORS (packets or pre-packaged fluids),2010,Total,30.60%
Mongolia,MN,MNG,Diarrhoea treatment - percentage of children (under age 5) with diarrhoea who received ORS (packets or pre-packaged fluids),2014,Female,38.10%
Mongolia,MN,MNG,Diarrhoea treatment - percentage of children (under age 5) with diarrhoea who received ORS (packets or pre-packaged fluids),2014,Male,45.40%
Mongolia,MN,MNG,Diarrhoea treatment - percentage of children (under age 5) with diarrhoea who received ORS (packets or pre-packaged fluids),2014,Total,41.80%
Mongolia,MN,MNG,Diarrhoea treatment - percentage of children (under age 5) with diarrhoea who received ORS (packets or pre-packaged fluids),2018,Female,64.00%
Mongolia,MN,MNG,Diarrhoea treatment - percentage of children (under age 5) with diarrhoea who received ORS (packets or pre-packaged fluids),2018,Male,53.30%
Mongolia,MN,MNG,Diarrhoea treatment - percentage of children (under age 5) with diarrhoea who received ORS (packets or pre-packaged fluids),2018,Total,58.20%
Montenegro,ME,MNE,Diarrhoea treatment - percentage of children (under age 5) with diarrhoea who received ORS (packets or pre-packaged fluids),2006,Total,16.30%
Morocco,MA,MAR,Diarrhoea treatment - percentage of children (under age 5) with diarrhoea who received ORS (packets or pre-packaged fluids),2004,Female,22.10%
Morocco,MA,MAR,Diarrhoea treatment - percentage of children (under age 5) with diarrhoea who received ORS (packets or pre-packaged fluids),2004,Male,23.80%
Morocco,MA,MAR,Diarrhoea treatment - percentage of children (under age 5) with diarrhoea who received ORS (packets or pre-packaged fluids),2004,Total,22.90%
Morocco,MA,MAR,Diarrhoea treatment - percentage of children (under age 5) with diarrhoea who received ORS (packets or pre-packaged fluids),2011,Total,22.10%
Mozambique,MZ,MOZ,Diarrhoea treatment - percentage of children (under age 5) with diarrhoea who received ORS (packets or pre-packaged fluids),2003,Female,49.80%
Mozambique,MZ,MOZ,Diarrhoea treatment - percentage of children (under age 5) with diarrhoea who received ORS (packets or pre-packaged fluids),2003,Male,47.30%
Mozambique,MZ,MOZ,Diarrhoea treatment - percentage of children (under age 5) with diarrhoea who received ORS (packets or pre-packaged fluids),2003,Total,48.50%
Mozambique,MZ,MOZ,Diarrhoea treatment - percentage of children (under age 5) with diarrhoea who received ORS (packets or pre-packaged fluids),2008,Female,44.90%
Mozambique,MZ,MOZ,Diarrhoea treatment - percentage of children (under age 5) with diarrhoea who received ORS (packets or pre-packaged fluids),2008,Male,46.50%
Mozambique,MZ,MOZ,Diarrhoea treatment - percentage of children (under age 5) with diarrhoea who received ORS (packets or pre-packaged fluids),2008,Total,45.70%
Mozambique,MZ,MOZ,Diarrhoea treatment - percentage of children (under age 5) with diarrhoea who received ORS (packets or pre-packaged fluids),2011,Female,58.30%
Mozambique,MZ,MOZ,Diarrhoea treatment - percentage of children (under age 5) with diarrhoea who received ORS (packets or pre-packaged fluids),2011,Male,51.90%
Mozambique,MZ,MOZ,Diarrhoea treatment - percentage of children (under age 5) with diarrhoea who received ORS (packets or pre-packaged fluids),2011,Total,55.00%
Mozambique,MZ,MOZ,Diarrhoea treatment - percentage of children (under age 5) with diarrhoea who received ORS (packets or pre-packaged fluids),2015,Female,46.00%
Mozambique,MZ,MOZ,Diarrhoea treatment - percentage of children (under age 5) with diarrhoea who received ORS (packets or pre-packaged fluids),2015,Male,45.90%
Mozambique,MZ,MOZ,Diarrhoea treatment - percentage of children (under age 5) with diarrhoea who received ORS (packets or pre-packaged fluids),2015,Total,45.90%
Mozambique,MZ,MOZ,Diarrhoea treatment - percentage of children (under age 5) with diarrhoea who received ORS (packets or pre-packaged fluids),2023,Female,52.30%
Mozambique,MZ,MOZ,Diarrhoea treatment - percentage of children (under age 5) with diarrhoea who received ORS (packets or pre-packaged fluids),2023,Male,47.10%
Mozambique,MZ,MOZ,Diarrhoea treatment - percentage of children (under age 5) with diarrhoea who received ORS (packets or pre-packaged fluids),2023,Total,50.00%
Myanmar,MM,MMR,Diarrhoea treatment - percentage of children (under age 5) with diarrhoea who received ORS (packets or pre-packaged fluids),2000,Female,39.80%
Myanmar,MM,MMR,Diarrhoea treatment - percentage of children (under age 5) with diarrhoea who received ORS (packets or pre-packaged fluids),2000,Male,50.30%
Myanmar,MM,MMR,Diarrhoea treatment - percentage of children (under age 5) with diarrhoea who received ORS (packets or pre-packaged fluids),2000,Total,44.90%
Myanmar,MM,MMR,Diarrhoea treatment - percentage of children (under age 5) with diarrhoea who received ORS (packets or pre-packaged fluids),2003,Female,44.40%
Myanmar,MM,MMR,Diarrhoea treatment - percentage of children (under age 5) with diarrhoea who received ORS (packets or pre-packaged fluids),2003,Male,60.40%
Myanmar,MM,MMR,Diarrhoea treatment - percentage of children (under age 5) with diarrhoea who received ORS (packets or pre-packaged fluids),2003,Total,53.10%
Myanmar,MM,MMR,Diarrhoea treatment - percentage of children (under age 5) with diarrhoea who received ORS (packets or pre-packaged fluids),2010,Female,60.00%
Myanmar,MM,MMR,Diarrhoea treatment - percentage of children (under age 5) with diarrhoea who received ORS (packets or pre-packaged fluids),2010,Male,61.10%
Myanmar,MM,MMR,Diarrhoea treatment - percentage of children (under age 5) with diarrhoea who received ORS (packets or pre-packaged fluids),2010,Total,60.60%
Myanmar,MM,MMR,Diarrhoea treatment - percentage of children (under age 5) with diarrhoea who received ORS (packets or pre-packaged fluids),2016,Female,54.90%
Myanmar,MM,MMR,Diarrhoea treatment - percentage of children (under age 5) with diarrhoea who received ORS (packets or pre-packaged fluids),2016,Male,68.10%
Myanmar,MM,MMR,Diarrhoea treatment - percentage of children (under age 5) with diarrhoea who received ORS (packets or pre-packaged fluids),2016,Total,61.90%
Namibia,NA,NAM,Diarrhoea treatment - percentage of children (under age 5) with diarrhoea who received ORS (packets or pre-packaged fluids),2000,Female,60.30%
Namibia,NA,NAM,Diarrhoea treatment - percentage of children (under age 5) with diarrhoea who received ORS (packets or pre-packaged fluids),2000,Male,61.80%
Namibia,NA,NAM,Diarrhoea treatment - percentage of children (under age 5) with diarrhoea who received ORS (packets or pre-packaged fluids),2000,Total,61.10%
Namibia,NA,NAM,Diarrhoea treatment - percentage of children (under age 5) with diarrhoea who received ORS (packets or pre-packaged fluids),2007,Female,63.50%
Namibia,NA,NAM,Diarrhoea treatment - percentage of children (under age 5) with diarrhoea who received ORS (packets or pre-packaged fluids),2007,Male,62.70%
Namibia,NA,NAM,Diarrhoea treatment - percentage of children (under age 5) with diarrhoea who received ORS (packets or pre-packaged fluids),2007,Total,63.10%
Namibia,NA,NAM,Diarrhoea treatment - percentage of children (under age 5) with diarrhoea who received ORS (packets or pre-packaged fluids),2013,Female,71.70%
Namibia,NA,NAM,Diarrhoea treatment - percentage of children (under age 5) with diarrhoea who received ORS (packets or pre-packaged fluids),2013,Male,71.50%
Namibia,NA,NAM,Diarrhoea treatment - percentage of children (under age 5) with diarrhoea who received ORS (packets or pre-packaged fluids),2013,Total,71.60%
Nauru,NR,NRU,Diarrhoea treatment - percentage of children (under age 5) with diarrhoea who received ORS (packets or pre-packaged fluids),2007,Total,23.30%
Nepal,NP,NPL,Diarrhoea treatment - percentage of children (under age 5) with diarrhoea who received ORS (packets or pre-packaged fluids),2001,Female,31.80%
Nepal,NP,NPL,Diarrhoea treatment - percentage of children (under age 5) with diarrhoea who received ORS (packets or pre-packaged fluids),2001,Male,32.50%
Nepal,NP,NPL,Diarrhoea treatment - percentage of children (under age 5) with diarrhoea who received ORS (packets or pre-packaged fluids),2001,Total,32.20%
Nepal,NP,NPL,Diarrhoea treatment - percentage of children (under age 5) with diarrhoea who received ORS (packets or pre-packaged fluids),2006,Female,23.70%
Nepal,NP,NPL,Diarrhoea treatment - percentage of children (under age 5) with diarrhoea who received ORS (packets or pre-packaged fluids),2006,Male,33.90%
Nepal,NP,NPL,Diarrhoea treatment - percentage of children (under age 5) with diarrhoea who received ORS (packets or pre-packaged fluids),2006,Total,29.30%
Nepal,NP,NPL,Diarrhoea treatment - percentage of children (under age 5) with diarrhoea who received ORS (packets or pre-packaged fluids),2011,Female,34.00%
Nepal,NP,NPL,Diarrhoea treatment - percentage of children (under age 5) with diarrhoea who received ORS (packets or pre-packaged fluids),2011,Male,42.80%
Nepal,NP,NPL,Diarrhoea treatment - percentage of children (under age 5) with diarrhoea who received ORS (packets or pre-packaged fluids),2011,Total,39.00%
Nepal,NP,NPL,Diarrhoea treatment - percentage of children (under age 5) with diarrhoea who received ORS (packets or pre-packaged fluids),2014,Female,42.30%
Nepal,NP,NPL,Diarrhoea treatment - percentage of children (under age 5) with diarrhoea who received ORS (packets or pre-packaged fluids),2014,Male,45.20%
Nepal,NP,NPL,Diarrhoea treatment - percentage of children (under age 5) with diarrhoea who received ORS (packets or pre-packaged fluids),2014,Total,44.00%
Nepal,NP,NPL,Diarrhoea treatment - percentage of children (under age 5) with diarrhoea who received ORS (packets or pre-packaged fluids),2016,Female,37.10%
Nepal,NP,NPL,Diarrhoea treatment - percentage of children (under age 5) with diarrhoea who received ORS (packets or pre-packaged fluids),2016,Male,36.80%
Nepal,NP,NPL,Diarrhoea treatment - percentage of children (under age 5) with diarrhoea who received ORS (packets or pre-packaged fluids),2016,Total,37.00%
Nepal,NP,NPL,Diarrhoea treatment - percentage of children (under age 5) with diarrhoea who received ORS (packets or pre-packaged fluids),2019,Female,59.00%
Nepal,NP,NPL,Diarrhoea treatment - percentage of children (under age 5) with diarrhoea who received ORS (packets or pre-packaged fluids),2019,Male,59.90%
Nepal,NP,NPL,Diarrhoea treatment - percentage of children (under age 5) with diarrhoea who received ORS (packets or pre-packaged fluids),2019,Total,59.50%
Nepal,NP,NPL,Diarrhoea treatment - percentage of children (under age 5) with diarrhoea who received ORS (packets or pre-packaged fluids),2022,Female,35.00%
Nepal,NP,NPL,Diarrhoea treatment - percentage of children (under age 5) with diarrhoea who received ORS (packets or pre-packaged fluids),2022,Male,41.40%
Nepal,NP,NPL,Diarrhoea treatment - percentage of children (under age 5) with diarrhoea who received ORS (packets or pre-packaged fluids),2022,Total,38.40%
Nicaragua,NI,NIC,Diarrhoea treatment - percentage of children (under age 5) with diarrhoea who received ORS (packets or pre-packaged fluids),2001,Female,45.70%
Nicaragua,NI,NIC,Diarrhoea treatment - percentage of children (under age 5) with diarrhoea who received ORS (packets or pre-packaged fluids),2001,Male,53.90%
Nicaragua,NI,NIC,Diarrhoea treatment - percentage of children (under age 5) with diarrhoea who received ORS (packets or pre-packaged fluids),2001,Total,50.00%
Nicaragua,NI,NIC,Diarrhoea treatment - percentage of children (under age 5) with diarrhoea who received ORS (packets or pre-packaged fluids),2007,Female,59.20%
Nicaragua,NI,NIC,Diarrhoea treatment - percentage of children (under age 5) with diarrhoea who received ORS (packets or pre-packaged fluids),2007,Male,57.90%
Nicaragua,NI,NIC,Diarrhoea treatment - percentage of children (under age 5) with diarrhoea who received ORS (packets or pre-packaged fluids),2007,Total,58.60%
Nicaragua,NI,NIC,Diarrhoea treatment - percentage of children (under age 5) with diarrhoea who received ORS (packets or pre-packaged fluids),2012,Total,95.40%
Niger,NE,NER,Diarrhoea treatment - percentage of children (under age 5) with diarrhoea who received ORS (packets or pre-packaged fluids),2000,Female,14.70%
Niger,NE,NER,Diarrhoea treatment - percentage of children (under age 5) with diarrhoea who received ORS (packets or pre-packaged fluids),2000,Male,13.90%
Niger,NE,NER,Diarrhoea treatment - percentage of children (under age 5) with diarrhoea who received ORS (packets or pre-packaged fluids),2000,Total,14.30%
Niger,NE,NER,Diarrhoea treatment - percentage of children (under age 5) with diarrhoea who received ORS (packets or pre-packaged fluids),2006,Female,16.40%
Niger,NE,NER,Diarrhoea treatment - percentage of children (under age 5) with diarrhoea who received ORS (packets or pre-packaged fluids),2006,Male,18.80%
