country,alpha_2_code,alpha_3_code,Indicator,Year,Value_in_percentage%
Marshall Islands,MH,MHL,Proportion of population using unimproved drinking water sources,2005,0.51%
Marshall Islands,MH,MHL,Proportion of population using unimproved drinking water sources,2006,0.60%
Marshall Islands,MH,MHL,Proportion of population using unimproved drinking water sources,2007,0.70%
Marshall Islands,MH,MHL,Proportion of population using unimproved drinking water sources,2008,0.79%
Marshall Islands,MH,MHL,Proportion of population using unimproved drinking water sources,2009,0.93%
Marshall Islands,MH,MHL,Proportion of population using unimproved drinking water sources,2010,1.18%
Marshall Islands,MH,MHL,Proportion of population using unimproved drinking water sources,2011,1.43%
Marshall Islands,MH,MHL,Proportion of population using unimproved drinking water sources,2012,1.67%
Marshall Islands,MH,MHL,Proportion of population using unimproved drinking water sources,2013,1.90%
Marshall Islands,MH,MHL,Proportion of population using unimproved drinking water sources,2014,2.14%
Marshall Islands,MH,MHL,Proportion of population using unimproved drinking water sources,2015,2.36%
Marshall Islands,MH,MHL,Proportion of population using unimproved drinking water sources,2016,2.59%
Marshall Islands,MH,MHL,Proportion of population using unimproved drinking water sources,2017,2.81%
Marshall Islands,MH,MHL,Proportion of population using unimproved drinking water sources,2018,3.03%
Marshall Islands,MH,MHL,Proportion of population using unimproved drinking water sources,2019,3.24%
Marshall Islands,MH,MHL,Proportion of population using unimproved drinking water sources,2020,3.45%
Marshall Islands,MH,MHL,Proportion of population using unimproved drinking water sources,2021,3.66%
Marshall Islands,MH,MHL,Proportion of population using unimproved drinking water sources,2022,3.87%
Martinique,MQ,MTQ,Proportion of population using unimproved drinking water sources,2000,0.24%
Martinique,MQ,MTQ,Proportion of population using unimproved drinking water sources,2001,0.24%
Martinique,MQ,MTQ,Proportion of population using unimproved drinking water sources,2002,0.24%
Martinique,MQ,MTQ,Proportion of population using unimproved drinking water sources,2003,0.24%
Martinique,MQ,MTQ,Proportion of population using unimproved drinking water sources,2004,0.24%
Martinique,MQ,MTQ,Proportion of population using unimproved drinking water sources,2005,0.24%
Martinique,MQ,MTQ,Proportion of population using unimproved drinking water sources,2006,0.24%
Martinique,MQ,MTQ,Proportion of population using unimproved drinking water sources,2007,0.24%
Martinique,MQ,MTQ,Proportion of population using unimproved drinking water sources,2008,0.25%
Martinique,MQ,MTQ,Proportion of population using unimproved drinking water sources,2009,0.25%
Martinique,MQ,MTQ,Proportion of population using unimproved drinking water sources,2010,0.25%
Martinique,MQ,MTQ,Proportion of population using unimproved drinking water sources,2011,0.26%
Martinique,MQ,MTQ,Proportion of population using unimproved drinking water sources,2012,0.26%
Martinique,MQ,MTQ,Proportion of population using unimproved drinking water sources,2013,0.26%
Martinique,MQ,MTQ,Proportion of population using unimproved drinking water sources,2014,0.26%
Martinique,MQ,MTQ,Proportion of population using unimproved drinking water sources,2015,0.27%
Martinique,MQ,MTQ,Proportion of population using unimproved drinking water sources,2016,0.27%
Martinique,MQ,MTQ,Proportion of population using unimproved drinking water sources,2017,0.27%
Martinique,MQ,MTQ,Proportion of population using unimproved drinking water sources,2018,0.28%
Martinique,MQ,MTQ,Proportion of population using unimproved drinking water sources,2019,0.28%
Martinique,MQ,MTQ,Proportion of population using unimproved drinking water sources,2020,0.28%
Martinique,MQ,MTQ,Proportion of population using unimproved drinking water sources,2021,0.28%
Martinique,MQ,MTQ,Proportion of population using unimproved drinking water sources,2022,0.28%
Mauritania,MR,MRT,Proportion of population using unimproved drinking water sources,2000,33.45%
Mauritania,MR,MRT,Proportion of population using unimproved drinking water sources,2001,32.56%
Mauritania,MR,MRT,Proportion of population using unimproved drinking water sources,2002,31.54%
Mauritania,MR,MRT,Proportion of population using unimproved drinking water sources,2003,30.53%
Mauritania,MR,MRT,Proportion of population using unimproved drinking water sources,2004,29.53%
Mauritania,MR,MRT,Proportion of population using unimproved drinking water sources,2005,28.54%
Mauritania,MR,MRT,Proportion of population using unimproved drinking water sources,2006,27.55%
Mauritania,MR,MRT,Proportion of population using unimproved drinking water sources,2007,26.58%
Mauritania,MR,MRT,Proportion of population using unimproved drinking water sources,2008,25.62%
Mauritania,MR,MRT,Proportion of population using unimproved drinking water sources,2009,24.67%
Mauritania,MR,MRT,Proportion of population using unimproved drinking water sources,2010,23.73%
Mauritania,MR,MRT,Proportion of population using unimproved drinking water sources,2011,22.81%
Mauritania,MR,MRT,Proportion of population using unimproved drinking water sources,2012,21.89%
Mauritania,MR,MRT,Proportion of population using unimproved drinking water sources,2013,20.99%
Mauritania,MR,MRT,Proportion of population using unimproved drinking water sources,2014,20.10%
Mauritania,MR,MRT,Proportion of population using unimproved drinking water sources,2015,19.23%
Mauritania,MR,MRT,Proportion of population using unimproved drinking water sources,2016,18.35%
Mauritania,MR,MRT,Proportion of population using unimproved drinking water sources,2017,17.47%
Mauritania,MR,MRT,Proportion of population using unimproved drinking water sources,2018,16.60%
Mauritania,MR,MRT,Proportion of population using unimproved drinking water sources,2019,15.75%
Mauritania,MR,MRT,Proportion of population using unimproved drinking water sources,2020,14.91%
Mauritania,MR,MRT,Proportion of population using unimproved drinking water sources,2021,14.09%
Mauritania,MR,MRT,Proportion of population using unimproved drinking water sources,2022,13.27%
Mauritius,MU,MUS,Proportion of population using unimproved drinking water sources,2000,0.52%
Mauritius,MU,MUS,Proportion of population using unimproved drinking water sources,2001,0.49%
Mauritius,MU,MUS,Proportion of population using unimproved drinking water sources,2002,0.47%
Mauritius,MU,MUS,Proportion of population using unimproved drinking water sources,2003,0.44%
Mauritius,MU,MUS,Proportion of population using unimproved drinking water sources,2004,0.42%
Mauritius,MU,MUS,Proportion of population using unimproved drinking water sources,2005,0.39%
Mauritius,MU,MUS,Proportion of population using unimproved drinking water sources,2006,0.37%
Mauritius,MU,MUS,Proportion of population using unimproved drinking water sources,2007,0.34%
Mauritius,MU,MUS,Proportion of population using unimproved drinking water sources,2008,0.32%
Mauritius,MU,MUS,Proportion of population using unimproved drinking water sources,2009,0.29%
Mauritius,MU,MUS,Proportion of population using unimproved drinking water sources,2010,0.26%
Mauritius,MU,MUS,Proportion of population using unimproved drinking water sources,2011,0.24%
Mauritius,MU,MUS,Proportion of population using unimproved drinking water sources,2012,0.21%
Mauritius,MU,MUS,Proportion of population using unimproved drinking water sources,2013,0.19%
Mauritius,MU,MUS,Proportion of population using unimproved drinking water sources,2014,0.16%
Mauritius,MU,MUS,Proportion of population using unimproved drinking water sources,2015,0.13%
Mauritius,MU,MUS,Proportion of population using unimproved drinking water sources,2016,0.11%
Mauritius,MU,MUS,Proportion of population using unimproved drinking water sources,2017,0.08%
Mauritius,MU,MUS,Proportion of population using unimproved drinking water sources,2018,0.05%
Mauritius,MU,MUS,Proportion of population using unimproved drinking water sources,2019,0.03%
Mauritius,MU,MUS,Proportion of population using unimproved drinking water sources,2020,0.00%
Mauritius,MU,MUS,Proportion of population using unimproved drinking water sources,2022,0.00%
Mayotte,YT,MYT,Proportion of population using unimproved drinking water sources,2006,2.58%
Mayotte,YT,MYT,Proportion of population using unimproved drinking water sources,2007,2.58%
Mayotte,YT,MYT,Proportion of population using unimproved drinking water sources,2008,2.58%
Mayotte,YT,MYT,Proportion of population using unimproved drinking water sources,2011,0.00%
Mayotte,YT,MYT,Proportion of population using unimproved drinking water sources,2013,0.05%
Mayotte,YT,MYT,Proportion of population using unimproved drinking water sources,2014,0.17%
Mayotte,YT,MYT,Proportion of population using unimproved drinking water sources,2015,0.28%
Mayotte,YT,MYT,Proportion of population using unimproved drinking water sources,2016,0.40%
Mayotte,YT,MYT,Proportion of population using unimproved drinking water sources,2017,0.52%
Mayotte,YT,MYT,Proportion of population using unimproved drinking water sources,2018,3.51%
Mayotte,YT,MYT,Proportion of population using unimproved drinking water sources,2019,3.63%
Mayotte,YT,MYT,Proportion of population using unimproved drinking water sources,2020,3.63%
Mayotte,YT,MYT,Proportion of population using unimproved drinking water sources,2021,3.63%
Mayotte,YT,MYT,Proportion of population using unimproved drinking water sources,2022,3.63%
Mexico,MX,MEX,Proportion of population using unimproved drinking water sources,2000,5.83%
Mexico,MX,MEX,Proportion of population using unimproved drinking water sources,2001,5.43%
Mexico,MX,MEX,Proportion of population using unimproved drinking water sources,2002,5.04%
Mexico,MX,MEX,Proportion of population using unimproved drinking water sources,2003,4.77%
Mexico,MX,MEX,Proportion of population using unimproved drinking water sources,2004,4.51%
Mexico,MX,MEX,Proportion of population using unimproved drinking water sources,2005,4.24%
Mexico,MX,MEX,Proportion of population using unimproved drinking water sources,2006,3.98%
Mexico,MX,MEX,Proportion of population using unimproved drinking water sources,2007,3.72%
Mexico,MX,MEX,Proportion of population using unimproved drinking water sources,2008,3.46%
Mexico,MX,MEX,Proportion of population using unimproved drinking water sources,2009,3.20%
Mexico,MX,MEX,Proportion of population using unimproved drinking water sources,2010,2.95%
Mexico,MX,MEX,Proportion of population using unimproved drinking water sources,2011,2.69%
Mexico,MX,MEX,Proportion of population using unimproved drinking water sources,2012,2.44%
Mexico,MX,MEX,Proportion of population using unimproved drinking water sources,2013,2.18%
Mexico,MX,MEX,Proportion of population using unimproved drinking water sources,2014,1.93%
Mexico,MX,MEX,Proportion of population using unimproved drinking water sources,2015,1.68%
Mexico,MX,MEX,Proportion of population using unimproved drinking water sources,2016,1.43%
Mexico,MX,MEX,Proportion of population using unimproved drinking water sources,2017,1.18%
Mexico,MX,MEX,Proportion of population using unimproved drinking water sources,2018,0.94%
Mexico,MX,MEX,Proportion of population using unimproved drinking water sources,2019,0.69%
Mexico,MX,MEX,Proportion of population using unimproved drinking water sources,2020,0.54%
Mexico,MX,MEX,Proportion of population using unimproved drinking water sources,2021,0.45%
Mexico,MX,MEX,Proportion of population using unimproved drinking water sources,2022,0.29%
Mongolia,MN,MNG,Proportion of population using unimproved drinking water sources,2000,12.94%
Mongolia,MN,MNG,Proportion of population using unimproved drinking water sources,2001,12.39%
Mongolia,MN,MNG,Proportion of population using unimproved drinking water sources,2002,11.84%
Mongolia,MN,MNG,Proportion of population using unimproved drinking water sources,2003,11.30%
Mongolia,MN,MNG,Proportion of population using unimproved drinking water sources,2004,10.78%
Mongolia,MN,MNG,Proportion of population using unimproved drinking water sources,2005,10.27%
Mongolia,MN,MNG,Proportion of population using unimproved drinking water sources,2006,9.77%
Mongolia,MN,MNG,Proportion of population using unimproved drinking water sources,2007,9.28%
Mongolia,MN,MNG,Proportion of population using unimproved drinking water sources,2008,8.81%
Mongolia,MN,MNG,Proportion of population using unimproved drinking water sources,2009,8.34%
Mongolia,MN,MNG,Proportion of population using unimproved drinking water sources,2010,7.89%
Mongolia,MN,MNG,Proportion of population using unimproved drinking water sources,2011,7.54%
Mongolia,MN,MNG,Proportion of population using unimproved drinking water sources,2012,7.25%
Mongolia,MN,MNG,Proportion of population using unimproved drinking water sources,2013,6.96%
Mongolia,MN,MNG,Proportion of population using unimproved drinking water sources,2014,6.67%
Mongolia,MN,MNG,Proportion of population using unimproved drinking water sources,2015,6.38%
Mongolia,MN,MNG,Proportion of population using unimproved drinking water sources,2016,6.09%
Mongolia,MN,MNG,Proportion of population using unimproved drinking water sources,2017,5.80%
Mongolia,MN,MNG,Proportion of population using unimproved drinking water sources,2018,5.50%
Mongolia,MN,MNG,Proportion of population using unimproved drinking water sources,2019,5.21%
Mongolia,MN,MNG,Proportion of population using unimproved drinking water sources,2020,4.91%
Mongolia,MN,MNG,Proportion of population using unimproved drinking water sources,2021,4.56%
Mongolia,MN,MNG,Proportion of population using unimproved drinking water sources,2022,4.21%
Montenegro,ME,MNE,Proportion of population using unimproved drinking water sources,2006,1.52%
Montenegro,ME,MNE,Proportion of population using unimproved drinking water sources,2007,1.45%
Montenegro,ME,MNE,Proportion of population using unimproved drinking water sources,2008,1.37%
Montenegro,ME,MNE,Proportion of population using unimproved drinking water sources,2009,1.30%
Montenegro,ME,MNE,Proportion of population using unimproved drinking water sources,2010,1.23%
Montenegro,ME,MNE,Proportion of population using unimproved drinking water sources,2011,1.15%
Montenegro,ME,MNE,Proportion of population using unimproved drinking water sources,2012,1.08%
Montenegro,ME,MNE,Proportion of population using unimproved drinking water sources,2013,1.01%
Montenegro,ME,MNE,Proportion of population using unimproved drinking water sources,2014,0.94%
Montenegro,ME,MNE,Proportion of population using unimproved drinking water sources,2015,0.87%
Montenegro,ME,MNE,Proportion of population using unimproved drinking water sources,2016,0.80%
Montenegro,ME,MNE,Proportion of population using unimproved drinking water sources,2017,0.73%
Montenegro,ME,MNE,Proportion of population using unimproved drinking water sources,2018,0.68%
Montenegro,ME,MNE,Proportion of population using unimproved drinking water sources,2019,0.64%
Montenegro,ME,MNE,Proportion of population using unimproved drinking water sources,2020,0.59%
Montenegro,ME,MNE,Proportion of population using unimproved drinking water sources,2021,0.59%
Montenegro,ME,MNE,Proportion of population using unimproved drinking water sources,2022,0.58%
Montserrat,MS,MSR,Proportion of population using unimproved drinking water sources,2000,1.95%
Montserrat,MS,MSR,Proportion of population using unimproved drinking water sources,2001,1.95%
Montserrat,MS,MSR,Proportion of population using unimproved drinking water sources,2002,1.95%
Montserrat,MS,MSR,Proportion of population using unimproved drinking water sources,2003,1.95%
Montserrat,MS,MSR,Proportion of population using unimproved drinking water sources,2004,1.94%
Montserrat,MS,MSR,Proportion of population using unimproved drinking water sources,2005,1.94%
Montserrat,MS,MSR,Proportion of population using unimproved drinking water sources,2006,1.94%
Montserrat,MS,MSR,Proportion of population using unimproved drinking water sources,2007,1.94%
Montserrat,MS,MSR,Proportion of population using unimproved drinking water sources,2008,1.94%
Montserrat,MS,MSR,Proportion of population using unimproved drinking water sources,2009,1.94%
Montserrat,MS,MSR,Proportion of population using unimproved drinking water sources,2010,1.94%
Montserrat,MS,MSR,Proportion of population using unimproved drinking water sources,2011,1.93%
Montserrat,MS,MSR,Proportion of population using unimproved drinking water sources,2012,1.93%
Montserrat,MS,MSR,Proportion of population using unimproved drinking water sources,2013,1.93%
Montserrat,MS,MSR,Proportion of population using unimproved drinking water sources,2014,1.93%
Montserrat,MS,MSR,Proportion of population using unimproved drinking water sources,2015,1.93%
Montserrat,MS,MSR,Proportion of population using unimproved drinking water sources,2016,1.93%
Montserrat,MS,MSR,Proportion of population using unimproved drinking water sources,2017,1.93%
Montserrat,MS,MSR,Proportion of population using unimproved drinking water sources,2018,1.93%
Montserrat,MS,MSR,Proportion of population using unimproved drinking water sources,2019,1.92%
Montserrat,MS,MSR,Proportion of population using unimproved drinking water sources,2020,1.92%
Montserrat,MS,MSR,Proportion of population using unimproved drinking water sources,2021,1.92%
Montserrat,MS,MSR,Proportion of population using unimproved drinking water sources,2022,1.92%
Morocco,MA,MAR,Proportion of population using unimproved drinking water sources,2000,27.25%
Morocco,MA,MAR,Proportion of population using unimproved drinking water sources,2001,26.49%
Morocco,MA,MAR,Proportion of population using unimproved drinking water sources,2002,25.73%
Morocco,MA,MAR,Proportion of population using unimproved drinking water sources,2003,24.98%
Morocco,MA,MAR,Proportion of population using unimproved drinking water sources,2004,24.23%
Morocco,MA,MAR,Proportion of population using unimproved drinking water sources,2005,23.40%
Morocco,MA,MAR,Proportion of population using unimproved drinking water sources,2006,22.57%
Morocco,MA,MAR,Proportion of population using unimproved drinking water sources,2007,21.74%
Morocco,MA,MAR,Proportion of population using unimproved drinking water sources,2008,20.93%
Morocco,MA,MAR,Proportion of population using unimproved drinking water sources,2009,20.13%
Morocco,MA,MAR,Proportion of population using unimproved drinking water sources,2010,19.34%
Morocco,MA,MAR,Proportion of population using unimproved drinking water sources,2011,18.56%
Morocco,MA,MAR,Proportion of population using unimproved drinking water sources,2012,17.80%
Morocco,MA,MAR,Proportion of population using unimproved drinking water sources,2013,17.04%
Morocco,MA,MAR,Proportion of population using unimproved drinking water sources,2014,16.30%
Morocco,MA,MAR,Proportion of population using unimproved drinking water sources,2015,15.56%
Morocco,MA,MAR,Proportion of population using unimproved drinking water sources,2016,14.84%
Morocco,MA,MAR,Proportion of population using unimproved drinking water sources,2017,14.12%
Morocco,MA,MAR,Proportion of population using unimproved drinking water sources,2018,13.42%
Morocco,MA,MAR,Proportion of population using unimproved drinking water sources,2019,12.68%
Morocco,MA,MAR,Proportion of population using unimproved drinking water sources,2020,11.88%
Morocco,MA,MAR,Proportion of population using unimproved drinking water sources,2021,11.09%
Morocco,MA,MAR,Proportion of population using unimproved drinking water sources,2022,10.95%
Mozambique,MZ,MOZ,Proportion of population using unimproved drinking water sources,2000,54.31%
Mozambique,MZ,MOZ,Proportion of population using unimproved drinking water sources,2001,52.87%
Mozambique,MZ,MOZ,Proportion of population using unimproved drinking water sources,2002,51.16%
Mozambique,MZ,MOZ,Proportion of population using unimproved drinking water sources,2003,49.45%
Mozambique,MZ,MOZ,Proportion of population using unimproved drinking water sources,2004,47.75%
Mozambique,MZ,MOZ,Proportion of population using unimproved drinking water sources,2005,46.04%
Mozambique,MZ,MOZ,Proportion of population using unimproved drinking water sources,2006,44.34%
Mozambique,MZ,MOZ,Proportion of population using unimproved drinking water sources,2007,42.65%
Mozambique,MZ,MOZ,Proportion of population using unimproved drinking water sources,2008,40.86%
Mozambique,MZ,MOZ,Proportion of population using unimproved drinking water sources,2009,39.08%
Mozambique,MZ,MOZ,Proportion of population using unimproved drinking water sources,2010,37.30%
Mozambique,MZ,MOZ,Proportion of population using unimproved drinking water sources,2011,35.54%
Mozambique,MZ,MOZ,Proportion of population using unimproved drinking water sources,2012,33.78%
Mozambique,MZ,MOZ,Proportion of population using unimproved drinking water sources,2013,32.03%
Mozambique,MZ,MOZ,Proportion of population using unimproved drinking water sources,2014,30.29%
Mozambique,MZ,MOZ,Proportion of population using unimproved drinking water sources,2015,28.55%
Mozambique,MZ,MOZ,Proportion of population using unimproved drinking water sources,2016,26.83%
Mozambique,MZ,MOZ,Proportion of population using unimproved drinking water sources,2017,25.12%
Mozambique,MZ,MOZ,Proportion of population using unimproved drinking water sources,2018,23.41%
Mozambique,MZ,MOZ,Proportion of population using unimproved drinking water sources,2019,21.72%
Mozambique,MZ,MOZ,Proportion of population using unimproved drinking water sources,2020,20.03%
Mozambique,MZ,MOZ,Proportion of population using unimproved drinking water sources,2021,18.35%
Mozambique,MZ,MOZ,Proportion of population using unimproved drinking water sources,2022,16.69%
Myanmar,MM,MMR,Proportion of population using unimproved drinking water sources,2000,17.56%
Myanmar,MM,MMR,Proportion of population using unimproved drinking water sources,2001,16.99%
Myanmar,MM,MMR,Proportion of population using unimproved drinking water sources,2002,16.43%
Myanmar,MM,MMR,Proportion of population using unimproved drinking water sources,2003,15.87%
Myanmar,MM,MMR,Proportion of population using unimproved drinking water sources,2004,15.30%
Myanmar,MM,MMR,Proportion of population using unimproved drinking water sources,2005,14.74%
Myanmar,MM,MMR,Proportion of population using unimproved drinking water sources,2006,14.18%
Myanmar,MM,MMR,Proportion of population using unimproved drinking water sources,2007,13.62%
Myanmar,MM,MMR,Proportion of population using unimproved drinking water sources,2008,13.05%
Myanmar,MM,MMR,Proportion of population using unimproved drinking water sources,2009,12.49%
Myanmar,MM,MMR,Proportion of population using unimproved drinking water sources,2010,11.93%
Myanmar,MM,MMR,Proportion of population using unimproved drinking water sources,2011,11.38%
Myanmar,MM,MMR,Proportion of population using unimproved drinking water sources,2012,10.82%
Myanmar,MM,MMR,Proportion of population using unimproved drinking water sources,2013,10.26%
Myanmar,MM,MMR,Proportion of population using unimproved drinking water sources,2014,9.70%
Myanmar,MM,MMR,Proportion of population using unimproved drinking water sources,2015,9.14%
Myanmar,MM,MMR,Proportion of population using unimproved drinking water sources,2016,8.59%
Myanmar,MM,MMR,Proportion of population using unimproved drinking water sources,2017,8.03%
Myanmar,MM,MMR,Proportion of population using unimproved drinking water sources,2018,7.47%
Myanmar,MM,MMR,Proportion of population using unimproved drinking water sources,2019,6.91%
Myanmar,MM,MMR,Proportion of population using unimproved drinking water sources,2020,6.35%
Myanmar,MM,MMR,Proportion of population using unimproved drinking water sources,2021,5.79%
Myanmar,MM,MMR,Proportion of population using unimproved drinking water sources,2022,5.77%
Namibia,NA,NAM,Proportion of population using unimproved drinking water sources,2000,7.16%
Namibia,NA,NAM,Proportion of population using unimproved drinking water sources,2001,7.02%
Namibia,NA,NAM,Proportion of population using unimproved drinking water sources,2002,6.84%
Namibia,NA,NAM,Proportion of population using unimproved drinking water sources,2003,6.66%
Namibia,NA,NAM,Proportion of population using unimproved drinking water sources,2004,6.49%
Namibia,NA,NAM,Proportion of population using unimproved drinking water sources,2005,6.31%
Namibia,NA,NAM,Proportion of population using unimproved drinking water sources,2006,6.14%
Namibia,NA,NAM,Proportion of population using unimproved drinking water sources,2007,5.96%
Namibia,NA,NAM,Proportion of population using unimproved drinking water sources,2008,5.79%
Namibia,NA,NAM,Proportion of population using unimproved drinking water sources,2009,5.62%
Namibia,NA,NAM,Proportion of population using unimproved drinking water sources,2010,5.45%
Namibia,NA,NAM,Proportion of population using unimproved drinking water sources,2011,5.28%
Namibia,NA,NAM,Proportion of population using unimproved drinking water sources,2012,5.11%
Namibia,NA,NAM,Proportion of population using unimproved drinking water sources,2013,4.95%
Namibia,NA,NAM,Proportion of population using unimproved drinking water sources,2014,4.78%
Namibia,NA,NAM,Proportion of population using unimproved drinking water sources,2015,4.62%
Namibia,NA,NAM,Proportion of population using unimproved drinking water sources,2016,4.46%
Namibia,NA,NAM,Proportion of population using unimproved drinking water sources,2017,4.30%
Namibia,NA,NAM,Proportion of population using unimproved drinking water sources,2018,4.15%
Namibia,NA,NAM,Proportion of population using unimproved drinking water sources,2019,4.00%
Namibia,NA,NAM,Proportion of population using unimproved drinking water sources,2020,3.85%
Namibia,NA,NAM,Proportion of population using unimproved drinking water sources,2021,3.71%
Namibia,NA,NAM,Proportion of population using unimproved drinking water sources,2022,3.65%
Nauru,NR,NRU,Proportion of population using unimproved drinking water sources,2000,1.92%
Nauru,NR,NRU,Proportion of population using unimproved drinking water sources,2001,1.99%
Nauru,NR,NRU,Proportion of population using unimproved drinking water sources,2002,2.06%
Nauru,NR,NRU,Proportion of population using unimproved drinking water sources,2003,2.13%
Nauru,NR,NRU,Proportion of population using unimproved drinking water sources,2004,2.21%
Nauru,NR,NRU,Proportion of population using unimproved drinking water sources,2005,2.28%
Nauru,NR,NRU,Proportion of population using unimproved drinking water sources,2006,2.35%
Nauru,NR,NRU,Proportion of population using unimproved drinking water sources,2007,2.42%
Nauru,NR,NRU,Proportion of population using unimproved drinking water sources,2008,2.49%
Nauru,NR,NRU,Proportion of population using unimproved drinking water sources,2009,2.57%
Nauru,NR,NRU,Proportion of population using unimproved drinking water sources,2010,2.64%
Nauru,NR,NRU,Proportion of population using unimproved drinking water sources,2011,2.71%
Nauru,NR,NRU,Proportion of population using unimproved drinking water sources,2012,2.78%
Nauru,NR,NRU,Proportion of population using unimproved drinking water sources,2013,2.85%
Nauru,NR,NRU,Proportion of population using unimproved drinking water sources,2014,2.92%
Nauru,NR,NRU,Proportion of population using unimproved drinking water sources,2015,3.00%
Nauru,NR,NRU,Proportion of population using unimproved drinking water sources,2016,3.00%
Nauru,NR,NRU,Proportion of population using unimproved drinking water sources,2017,3.00%
Nauru,NR,NRU,Proportion of population using unimproved drinking water sources,2018,3.00%
Nauru,NR,NRU,Proportion of population using unimproved drinking water sources,2019,3.00%
Nepal,NP,NPL,Proportion of population using unimproved drinking water sources,2000,15.97%
Nepal,NP,NPL,Proportion of population using unimproved drinking water sources,2001,15.30%
Nepal,NP,NPL,Proportion of population using unimproved drinking water sources,2002,14.66%
Nepal,NP,NPL,Proportion of population using unimproved drinking water sources,2003,14.03%
Nepal,NP,NPL,Proportion of population using unimproved drinking water sources,2004,13.40%
Nepal,NP,NPL,Proportion of population using unimproved drinking water sources,2005,12.78%
Nepal,NP,NPL,Proportion of population using unimproved drinking water sources,2006,12.16%
Nepal,NP,NPL,Proportion of population using unimproved drinking water sources,2007,11.54%
Nepal,NP,NPL,Proportion of population using unimproved drinking water sources,2008,10.93%
Nepal,NP,NPL,Proportion of population using unimproved drinking water sources,2009,10.32%
Nepal,NP,NPL,Proportion of population using unimproved drinking water sources,2010,9.72%
Nepal,NP,NPL,Proportion of population using unimproved drinking water sources,2011,9.12%
Nepal,NP,NPL,Proportion of population using unimproved drinking water sources,2012,8.52%
Nepal,NP,NPL,Proportion of population using unimproved drinking water sources,2013,7.93%
Nepal,NP,NPL,Proportion of population using unimproved drinking water sources,2014,7.35%
Nepal,NP,NPL,Proportion of population using unimproved drinking water sources,2015,6.77%
Nepal,NP,NPL,Proportion of population using unimproved drinking water sources,2016,6.20%
Nepal,NP,NPL,Proportion of population using unimproved drinking water sources,2017,5.63%
Nepal,NP,NPL,Proportion of population using unimproved drinking water sources,2018,5.07%
Nepal,NP,NPL,Proportion of population using unimproved drinking water sources,2019,4.51%
Nepal,NP,NPL,Proportion of population using unimproved drinking water sources,2020,3.96%
Nepal,NP,NPL,Proportion of population using unimproved drinking water sources,2021,3.42%
Nepal,NP,NPL,Proportion of population using unimproved drinking water sources,2022,3.43%
Netherlands,NL,NLD,Proportion of population using unimproved drinking water sources,2000,0.00%
Netherlands,NL,NLD,Proportion of population using unimproved drinking water sources,2001,0.00%
Netherlands,NL,NLD,Proportion of population using unimproved drinking water sources,2002,0.00%
Netherlands,NL,NLD,Proportion of population using unimproved drinking water sources,2004,0.00%
Netherlands,NL,NLD,Proportion of population using unimproved drinking water sources,2006,0.00%
Netherlands,NL,NLD,Proportion of population using unimproved drinking water sources,2009,0.00%
Netherlands,NL,NLD,Proportion of population using unimproved drinking water sources,2010,0.00%
Netherlands,NL,NLD,Proportion of population using unimproved drinking water sources,2013,0.00%
Netherlands,NL,NLD,Proportion of population using unimproved drinking water sources,2016,0.00%
Netherlands,NL,NLD,Proportion of population using unimproved drinking water sources,2022,0.00%
New Caledonia,NC,NCL,Proportion of population using unimproved drinking water sources,2000,4.90%
New Caledonia,NC,NCL,Proportion of population using unimproved drinking water sources,2001,4.90%
New Caledonia,NC,NCL,Proportion of population using unimproved drinking water sources,2002,4.90%
New Caledonia,NC,NCL,Proportion of population using unimproved drinking water sources,2003,4.66%
New Caledonia,NC,NCL,Proportion of population using unimproved drinking water sources,2004,4.43%
New Caledonia,NC,NCL,Proportion of population using unimproved drinking water sources,2005,4.19%
New Caledonia,NC,NCL,Proportion of population using unimproved drinking water sources,2006,3.96%
New Caledonia,NC,NCL,Proportion of population using unimproved drinking water sources,2007,3.73%
New Caledonia,NC,NCL,Proportion of population using unimproved drinking water sources,2008,3.49%
New Caledonia,NC,NCL,Proportion of population using unimproved drinking water sources,2009,3.26%
New Caledonia,NC,NCL,Proportion of population using unimproved drinking water sources,2010,3.03%
New Caledonia,NC,NCL,Proportion of population using unimproved drinking water sources,2011,2.79%
New Caledonia,NC,NCL,Proportion of population using unimproved drinking water sources,2012,2.56%
New Caledonia,NC,NCL,Proportion of population using unimproved drinking water sources,2013,2.33%
New Caledonia,NC,NCL,Proportion of population using unimproved drinking water sources,2014,2.09%
New Caledonia,NC,NCL,Proportion of population using unimproved drinking water sources,2015,1.86%
New Caledonia,NC,NCL,Proportion of population using unimproved drinking water sources,2016,1.63%
New Caledonia,NC,NCL,Proportion of population using unimproved drinking water sources,2017,1.39%
New Caledonia,NC,NCL,Proportion of population using unimproved drinking water sources,2018,1.16%
New Caledonia,NC,NCL,Proportion of population using unimproved drinking water sources,2019,0.93%
New Caledonia,NC,NCL,Proportion of population using unimproved drinking water sources,2020,0.69%
New Caledonia,NC,NCL,Proportion of population using unimproved drinking water sources,2021,0.46%
New Caledonia,NC,NCL,Proportion of population using unimproved drinking water sources,2022,0.46%
New Zealand,NZ,NZL,Proportion of population using unimproved drinking water sources,2000,0.00%
New Zealand,NZ,NZL,Proportion of population using unimproved drinking water sources,2001,0.00%
New Zealand,NZ,NZL,Proportion of population using unimproved drinking water sources,2002,0.00%
